HINT_SPLASH_TITLE;Britannia 479 AD - 'The Winter King';;;;;;;;;;;;x
HINT_SPLASH_START;As a new feudal lord, your first priority is to secure an heir. If you do not have a legitimate heir when your character dies, it's Game Over. Other pressing matters that need your attention will appear as Alerts along the top of the screen.;;;;;;;;;;;;x
HINT_SPLASH_TIME;You can issue commands both while the game is paused and when the clock is running. To pause or unpause the game, click the date in the upper-right corner or press the Spacebar. Use the plus and minus symbols to speed time up or to slow it down.;;;;;;;;;;;;x
HINT_SPLASH_VICTORY;Unless your dynasty dies out or you lose your last piece of land, the game will end in the year 962 AD, and you can compare your success with that of other dynasties from real history.;;;;;;;;;;;;x
HINT_SPLASH_TEXT;In 'The Winter King', you play as a feudal ruler of western Europe during the Dark Ages. Your goal is to secure as much land and prestige as possible for yourself and, when the time comes, your successors. You can see your portrait in the upper-left corner. Click the portrait to find out who your character is.;;;;;;;;;;;;x
HINT_SPLASH_MAP;The campaign takes place on a fully 3D map. You can zoom in and out using your mouse scroll wheel. Holding down the scroll wheel and moving the mouse lets you pan. You can always reset the map by pressing Backspace.;;;;;;;;;;;;x
recently_conquered;Recently Conquered;;;;;;;;;;;;x
new_administration;Transition of Rule;;;;;;;;;;;;x
obj_become_king_title;Become King of [This.Capital.Kingdom.GetName];;;;;;;;;;;;x
obj_become_king_desc;[This.GetTitledFirstName] wants to become King of [This.Capital.Kingdom.GetName].;;;;;;;;;;;;x
obj_become_king_tip;Is King of [This.Capital.Kingdom.GetName];;;;;;;;;;;;x
feudal_contract_1_desc;Vassal lords may retain a significant portion of their levies for themselves.;;;;;;;;;;;;x
feudal_contract_2;Large Feudal Levies;;;;;;;;;;;;x
feudal_contract_2_option;Large;;;;;;;;;;;;x
feudal_contract_2_desc;Vassal lords retain small local retinues in addition to their garrisons.;;;;;;;;;;;;x
feudal_contract_3;Unrestricted Feudal Levies;;;;;;;;;;;;x
feudal_contract_3_option;All;;;;;;;;;;;;x
feudal_contract_3_desc;Vassal lords are obliged to provide their entire levy to their liege.;;;;;;;;;;;;x
feudal_tax;Feudal Taxation;;;;;;;;;;;;x
feudal_tax_desc;Normally, feudal lords are exempt from paying taxes to their liege. However, other arrangements are fairly common - if not well liked.;;;;;;;;;;;;x
feudal_tax_0;Tax Exemption;;;;;;;;;;;;x
feudal_tax_0_option;None;;;;;;;;;;;;x
feudal_tax_0_desc;Feudal lords are exempted from taxation, vassal lords like this state of affairs.;;;;;;;;;;;;x
feudal_tax_1;Lord's Fee;;;;;;;;;;;;x
feudal_tax_1_option;Low;;;;;;;;;;;;x
feudal_tax_1_desc;Feudal lords are expected to make a small financial contribution towards the greater good of the realm. They are mildly disappointed in this.;;;;;;;;;;;;x
feudal_tax_2;Moderate Feudal Taxes;;;;;;;;;;;;x 
feudal_tax_2_option;Medium;;;;;;;;;;;;x
feudal_tax_2_desc;Feudal lords are expected to make a moderate financial contribution towards the greater good of the realm. They also wish to express their general disappointment at this state of affairs.;;;;;;;;;;;;x
feudal_tax_3;Harsh Feudal Taxes;;;;;;;;;;;;x
feudal_tax_3_option;Harsh;;;;;;;;;;;;x
feudal_tax_3_desc;Feudal lords are expected to make a large financial contribution towards the greater good of the realm. They find it hard to fully express their disgust at this state of affairs.;;;;;;;;;;;;x
city_contract;Town Levies;;;;;;;;;;;;x 
city_contract_desc;Town Levy Laws concern the obligations of towns and cities to provide troops for their liege.;;;;;;;;;;;;x
city_contract_0;Small Town Levies;;;;;;;;;;;;x
city_contract_0_option;Small;;;;;;;;;;;;x
city_contract_0_desc;The towns are expected to provide a small amount of troops for the defense of the realm.;;;;;;;;;;;;x
city_contract_1;Medium Town Levies;;;;;;;;;;;;x
city_contract_1_option;Medium;;;;;;;;;;;;x
city_contract_1_desc;The towns are expected to provide a moderate amount of troops for the defense of the realm.;;;;;;;;;;;;x
city_contract_2;Large Town Levies;;;;;;;;;;;;x
city_contract_2_option;Large;;;;;;;;;;;;x
city_contract_2_desc;The towns are expected to provide a substantial amount of troops for the defense of the realm.;;;;;;;;;;;;x
city_contract_3;Maximum Town Levies;;;;;;;;;;;;x
city_contract_3_option;Max;;;;;;;;;;;;x
city_contract_3_desc;The towns are expected to provide the largest possible portion of their available troops for the defense of the realm.;;;;;;;;;;;;x
city_tax;Town Taxation;;;;;;;;;;;;x
city_tax_desc;The towns and their markets are the golden geese of any realm, but their taxation can be adjusted through laws.;;;;;;;;;;;;x
city_tax_0;Minimal Town Taxes;;;;;;;;;;;;x
city_tax_0_option;Min;;;;;;;;;;;;x
city_tax_0_desc;The towns are expected to make a small financial contribution to the greater good of the realm.;;;;;;;;;;;;x
city_tax_1;Moderate Town Taxes;;;;;;;;;;;;x
city_tax_1_option;Low;;;;;;;;;;;;x
city_tax_1_desc;The towns are expected to make a moderate financial contribution to the greater good of the realm.;;;;;;;;;;;;x
city_tax_2;Substantial Town Taxes;;;;;;;;;;;;x
city_tax_2_option;Medium;;;;;;;;;;;;x
city_tax_2_desc;The towns are expected to make a substantial financial contribution to the greater good of the realm.;;;;;;;;;;;;x
city_tax_3;Harsh Town Taxes;;;;;;;;;;;;x
city_tax_3_option;Harsh;;;;;;;;;;;;x
city_tax_3_desc;The towns are expected to make a large financial contribution to the greater good of the realm.;;;;;;;;;;;;x
temple_contract;Religious Levies;;;;;;;;;;;;x
temple_contract_desc;These laws control the size of the levies that vassal druids, pagan priests and bishops are formally obliged to provide their secular liege.;;;;;;;;;;;;x
temple_contract_0;Small Religious Levies;;;;;;;;;;;;x
temple_contract_0_option;Small;;;;;;;;;;;;x
temple_contract_0_desc;The priests are expected to provide a small amount of troops for the defense of the realm.;;;;;;;;;;;;x
temple_contract_1;Medium Religious Levies;;;;;;;;;;;;x
temple_contract_1_option;Medium;;;;;;;;;;;;x
temple_contract_1_desc;The priests are expected to provide a moderate amount of troops for the defense of the realm.;;;;;;;;;;;;x
temple_contract_2;Large Religious Levies;;;;;;;;;;;;x
temple_contract_2_option;Large;;;;;;;;;;;;x
temple_contract_2_desc;The priests are expected to provide a substantial amount of troops for the defense of the realm.;;;;;;;;;;;;x
temple_contract_3;Maximum Religious Levies;;;;;;;;;;;;x
temple_contract_3_option;Max;;;;;;;;;;;;x
temple_contract_3_desc;The priests are expected to provide a large amount of troops for the defense of the realm.;;;;;;;;;;;;x
temple_tax;Religious Taxation;;;;;;;;;;;;x
temple_tax_desc;Priests and bishops nominally provide their secular liege with a regular tithe, unless they like the head of their religion better.;;;;;;;;;;;;x
temple_tax_0;Tax Exemption;;;;;;;;;;;;x
temple_tax_0_option;None;;;;;;;;;;;;x
temple_tax_0_desc;Priests are exempt from taxes.;;;;;;;;;;;;x
temple_tax_1;Minimal Religious Taxes;;;;;;;;;;;;x
temple_tax_1_option;Low;;;;;;;;;;;;x
temple_tax_1_desc;Priests are expected to make a small financial contribution to the greater good of the realm.;;;;;;;;;;;;x
temple_tax_2;Moderate Religious Taxes;;;;;;;;;;;;x
temple_tax_2_option;Medium;;;;;;;;;;;;x
temple_tax_2_desc;Priests are expected to make a moderate financial contribution to the greater good of the realm.;;;;;;;;;;;;x
temple_tax_3;Harsh Religious Taxes;;;;;;;;;;;;x
temple_tax_3_option;Harsh;;;;;;;;;;;;x
temple_tax_3_desc;Priests are expected to make a substantial financial contribution to the greater good of the realm.;;;;;;;;;;;;x
mil_train_laws;Levies Control;;;;;;;;;;;;;x
mil_train_laws_desc;These laws regulate the amount of combat training and discipline required from men who enlist or are pressed into the realm's levies. With more training, your warriors will be more confident and effective on the field of battle, but more time will be necessary to replace the losses.;;;;;;;;;;;;;x
mil_train_0;Free Campaigners;;;;;;;;;;;;;x
mil_train_0_desc;Your levies consist of free individuals, local farmers and commoners who are given arms and called to war when necessary. They receive no direct training, and no strict discipline is required from them.;;;;;;;;;;;;;x
mil_train_0_option;None;;;;;;;;;;;;;x
mil_train_1;Trained Levies;;;;;;;;;;;;;x
mil_train_1_desc;When men enlist or are pressed into your levies, they recieve basic drill instruction and weapons training at the hands of veterans.;;;;;;;;;;;;;x
mil_train_1_option;Low;;;;;;;;;;;;;x
mil_train_2;Professional Levies;;;;;;;;;;;;;x
mil_train_2_desc;Your levies consist of competent, well-trained professionals, drilled and honed by veterans and skilled commanders. Strict discipline is required from all armed men, even from town guards and watch sentries. Peasant militia levies spend one day every week training under the guidance of experienced warriors.;;;;;;;;;;;;;x
mil_train_2_option;High;;;;;;;;;;;;;x
investiture_law;Investiture;;;;;;;;;;;;x
investiture_law_desc;This law determines who appoints landed priests and bishops - the secular liege or the religious authorities.;;;;;;;;;;;;x
investiture_law_0;Papal Investiture;;;;;;;;;;;;x
investiture_law_0_option;Papal;;;;;;;;;;;;x
investiture_law_0_desc;Only the Pope may appoint Bishops within the Realm. This will give the Crown a §G50%§! Piety cost discount when requesting special papal actions, like Divorce and Excommunication.;;;;;;;;;;;;x
investiture_law_1;Free Investiture;;;;;;;;;;;;x
investiture_law_1_option;Free;;;;;;;;;;;;x
investiture_law_1_desc;Landed priests within the kingdom can be appointed by their secular lieges, and will be more loyal to their liege than to the head of their religion.;;;;;;;;;;;;x
crown_city_charters_only;Charta Civitates;;;;;;;;;;;;x
crown_city_charters_only_desc;Towns and cities within the Kingdom can only be vassals of the King.;;;;;;;;;;;;x
crown_authority;Crown Authority;;;;;;;;;;;;x
crown_authority_desc;Ancient kings and emperors fought a constant battle with their vassals over privileges, rights and obligations. The lords, naturally, tended to favor a weak central power...;;;;;;;;;;;;x
crown_authority_0;Autonomous Vassals;;;;;;;;;;;;x
crown_authority_0_option;Min;;;;;;;;;;;;x
crown_authority_0_desc;Vassals are a law unto themselves, ruling their fiefs like petty kingdoms. Their obligations to their liege are minimal.;;;;;;;;;;;;x
crown_authority_1;Limited Crown Authority;;;;;;;;;;;;x
crown_authority_1_option;Low;;;;;;;;;;;;x
crown_authority_1_desc;Vassals enjoy a very large degree of autonomy, but have to provide their liege with a fairly substantial portion of the levies.;;;;;;;;;;;;x
crown_authority_2;Medium Crown Authority;;;;;;;;;;;;x
crown_authority_2_option;Medium;;;;;;;;;;;;x
crown_authority_2_desc;The powers of the nobility and the monarch are in precarious balance. Vassals can no longer wage private wars within the realm.;;;;;;;;;;;;x
crown_authority_3;High Crown Authority;;;;;;;;;;;;x
crown_authority_3_option;High;;;;;;;;;;;;x
crown_authority_3_desc;The monarch has curbed the rights of the high nobility, relying instead on a budding bureaucracy led by the lesser nobility.;;;;;;;;;;;;x
crown_authority_4;Absolute Crown Authority;;;;;;;;;;;;x
crown_authority_4_option;Max;;;;;;;;;;;;x
crown_authority_4_desc;The lords of the realm are chafing under the unrestricted powers of an absolute monarch.;;;;;;;;;;;;x
realm_peace_law;Realm Peace;;;;;;;;;;;;x
realm_peace_law_desc;These laws govern the ability of vassals to fight their own individual wars against each other and outside realms.;;;;;;;;;;;;x
realm_peace_law_0;No Realm Peace;;;;;;;;;;;;x
realm_peace_law_0_option;None;;;;;;;;;;;;x
realm_peace_law_0_desc;Vassals are allowed to wage war against other vassals in the realm, as well as against foreign realms.;;;;;;;;;;;;x
realm_peace_law_1;Internal Realm Peace;;;;;;;;;;;;x
realm_peace_law_1_option;Internal;;;;;;;;;;;;x
realm_peace_law_1_desc;Vassals are not allowed to wage war against other vassals, but can declare war on foreign realms.;;;;;;;;;;;;x
realm_peace_law_2;Total Realm Peace;;;;;;;;;;;;x
realm_peace_law_2_option;Total;;;;;;;;;;;;x
realm_peace_law_2_desc;Vassals are completely restricted from declaring war.;;;;;;;;;;;;x
ze_administration_laws_1;Romanized Administration;;;;;;;;;;;;x
ze_administration_laws_1_option;Romanized;;;;;;;;;;;;x
ze_administration_laws_1_desc;While not a fully fledged imperial, bureaucratic system, Romanized realms retain the concept of the realm as a proper state rather than the more personal feudal system. Romanized realms are more centralized and tend to have greater control over their vassals, as well as a system of inheritance that transfers the state or administration in full.;;;;;;;;;;;;x
succession_voting_power_desc;The Council's authority in regards to the right of holding office.;;;;;;;;;;;;x
succession_voting_power_0_desc;The ruler has full authority over the choice of who sits on the council.;;;;;;;;;;;;x
succession_voting_power_1_desc;The Council's authority reaches its peak, with the ruler unable to fire council members at will.;;;;;;;;;;;;x
succession_voting_power_1_effect_tooltip;§YPowerful Vassals§! cannot be fired from the §YCouncil§!;;;;;;;;;;;;x
succession_voting_power_0_effect_tooltip;§YPowerful Vassals§! can be fired from the §YCouncil§!;;;;;;;;;;;;x
tribal_organization_0;Minimum Tribal Organization;;;;;;;;;;;;x
tribal_organization_0_option;Min;;;;;;;;;;;;x
tribal_organization_0_desc;With low organization chiefs have barely any control over their vassals.;;;;;;;;;;;;x
tribal_organization_1;Weak Tribal Organization;;;;;;;;;;;;x
tribal_organization_1_option;Weak;;;;;;;;;;;;x
tribal_organization_1_desc;Chiefs have limited power over their vassals, but still have little hard power.;;;;;;;;;;;;x
tribal_organization_2;Modest Tribal Organization;;;;;;;;;;;;x
tribal_organization_2_option;Modest;;;;;;;;;;;;x
tribal_organization_2_desc;Chiefs have begun to gain some authority over their vassals.;;;;;;;;;;;;x
tribal_organization_3;Medium Tribal Organization;;;;;;;;;;;;x
tribal_organization_3_option;Medium;;;;;;;;;;;;x
tribal_organization_3_desc;The power of vassals and liege chiefs are somewhat balanced.;;;;;;;;;;;;x
tribal_organization_4;Significant Tribal Organization;;;;;;;;;;;;;x
tribal_organization_4_option;Significant;;;;;;;;;;;x
tribal_organization_4_desc;Chiefs are gaining in power over their vassals.;;;;;;;;;;;;x
tribal_organization_5;Strong Tribal Organization;;;;;;;;;;;;x
tribal_organization_5_option;Strong;;;;;;;;;;;;x
tribal_organization_5_desc;Vassals owe significant obligations to their chiefs.;;;;;;;;;;;;x
tribal_organization_6;Absolute Tribal Organization;;;;;;;;;;;;x
tribal_organization_6_option;Max;;;;;;;;;;;;x
tribal_organization_6_desc;The power of individual tribes has been largely subsumed, and chiefs rule over their vassals much like feudal lords.;;;;;;;;;;;;x
allows_change_government_tribal;Allows Adopting High Tribal Government.\n;;;;;;;;;;;;x
disallows_change_government_tribal;Disallows Adopting High Tribal Government.\n;;;;;;;;;;;;x
allows_change_government;Allows adoption of Feudal Governments.\n;;;;;;;;;;;;x
disallows_change_government;Disallows adoption of  Feudal Governments.\n;;;;;;;;;;;;x
enables_revoke_title_voting_power_0;Enables Ruler Title Revocation Sovereignty.\n;;;;;;;;;;;;x
disables_revoke_title_voting_power_0;Disables Ruler Title Revocation Sovereignty.\n;;;;;;;;;;;;x
enables_imprison_voting_power_0;Enables Ruler Imprisonment Sovereignty.\n;;;;;;;;;;;;x
disables_imprison_voting_power_0;Disables Ruler Imprisonment Sovereignty.\n;;;;;;;;;;;;x
enables_grant_title_voting_power_0;Enables Ruler Title Grant Sovereignty.\n;;;;;;;;;;;;x
disables_grant_title_voting_power_0;Disables Ruler Title Grant Sovereignty.\n;;;;;;;;;;;;x
enables_banish_voting_power_0;Enables Ruler Banishment Sovereignty.\n;;;;;;;;;;;;x
disables_banish_voting_power_0;Disables Ruler Banishment Sovereignty.\n;;;;;;;;;;;;x
enables_execution_voting_power_0;Enables Ruler Execution Sovereignty.\n;;;;;;;;;;;;x
disables_execution_voting_power_0;Disables Ruler Execution Sovereignty.\n;;;;;;;;;;;;x
enables_succession_voting_power_0;Enables Limited Council Authority.\n;;;;;;;;;;;;x
disables_succession_voting_power_0;Disables Limited Council Authority.\n;;;;;;;;;;;;x
enables_revoke_title_law_1;Enables Title Revocation Allowed.\n;;;;;;;;;;;;x
disables_revoke_title_law_1;Disables Title Revocation Allowed.\n;;;;;;;;;;;;x
disables_realm_peace;Disables use of §YRealm Peace§!\n;;;;;;;;;;;;x
enables_realm_peace;Enables use of §YRealm Peace§!\n;;;;;;;;;;;;x
CROWN_LAW_DESC;The Crown Laws of the §Y$CROWN_TITLE$§!\napply in the §Y$TITLE$§!;;;;;;;;;;;;x
TOO_MANY_HELD_DUCHIES;Too Many High Lordship Titles;;;;;;;;;;;;x
TITLE_CREATION_REQ_DUCHIES;You need to hold at least §Y$DUCHIES$§! High Lordship titles.;;;;;;;;;;;;x
TITLE_CREATION_EMPEROR_DESC;We need to control §Y$REQ_PERC$%§! of its de jure provinces to create this title. Currently, we control $PERC$ ($HELD$/§Y$ALL$§!). Creating this title would give you §G$PRESTIGE$§! Prestige and cost you §R$GOLD$§! Gold and §R$PIETY$§! Piety.;;;;;;;;;;;;x
TITLE_CREATION_KING_DESC;We need to control §Y$REQ_PERC$%§! of its de jure provinces to create this title. Currently, we control $PERC$ ($HELD$/§Y$ALL$§!). Creating this title would give you §G$PRESTIGE$§! Prestige and cost you §R$GOLD$§! Gold and §R$PIETY$§! Piety.;;;;;;;;;;;;x
TITLE_CREATION_DESC;We need to control §Y$REQ_PERC$%§! of its de jure provinces to create this title. Currently, we control $PERC$ ($HELD$/§Y$ALL$§!). Creating this title would give you §G$PRESTIGE$§! Prestige and cost you §R$GOLD$§! Gold.;;;;;;;;;;;;x
TITLE_USURPATION_DESC;We need to control §Y$REQ_PERC$%§! of its de jure provinces to usurp this title. Currently, we control $PERC$ ($HELD$/§Y$ALL$§!). Usurping this title would give you §G$PRESTIGE$§! Prestige and cost you §R$GOLD$§! Gold.;;;;;;;;;;;;x
REALM_LEVY_LESS;Current realm levies less than §Y$VAL$§!;Nombre actuel de levées de troupes dans le pays inférieur à §Y$VAL$§!;Aktuelle Zahl der Lehnstruppen des Reichs geringer als ?$VAL$?;;Reclutamiento actual del reino menos de ?$VAL$?;;;;;;;;;x
REALM_LEVY_LEAST;Current realm levies at least §Y$VAL$§!;Nombre actuel de levées de troupes dans le pays égal ou supérieur à §Y$VAL$§!;Aktuelle Zahl der Lehnstruppen des Reichs mindestens ?$VAL$?;;Reclutamiento actual del reino por lo menos ?$VAL$?;;;;;;;;;x
MAX_TROOP_STRENGTH_LESS;Maximum realm levies less than §Y$VAL$§!;Nombre actuel de levées de troupes dans le pays inférieur à §Y$VAL$§!;Maximum der Lehnstruppen des Reichs geringer als ?$VAL$?;;Reclutamiento máximo del reino menos que ?$VAL$?;;;;;;;;;x
MAX_TROOP_STRENGTH_LEAST;Maximum realm levies at least §Y$VAL$§!;Nombre actuel de levées de troupes dans le pays égal ou supérieur à §Y$VAL$§!;Maximum der Lehnstruppen des Reichs mindestens ?$VAL$?;;Reclutamiento máximo del reino por lo menos ?$VAL$?;;;;;;;;;x
alert_dejure_claim_instant;§YYou can Press De Jure Claims§!;;;;;;;;;;;;x
alert_dejure_claim_delayed;The following claims can be pressed: $LIST$;;;;;;;;;;;;x
EDUCATE_CHARACTER_INTERACTION_LETTER;We propose that [AdultExtra.GetBestName] become the guardian and mentor of little [ChildExtra.GetBestName], so [ChildExtra.GetSubjectPronoun] can be raised as a proper [AdultExtra.Culture.GetName] under the principles of the [AdultExtra.Religion.GetName] religion.;;;;;;;;;;;;x
years_of_peace;Years of Peace;;;;;;;;;;;;x
realm_size;Total Realm Holdings;;;;;;;;;;;;x
Friend;Friend;;;;;;;;;;;;x
Rival;Rival;;;;;;;;;;;;x
Lover;Lover;;;;;;;;;;;;x
weaken_vassal_plot_desc;This CB is used in plots to weaken a vassal.;;;;;;;;;;;;x
claim_on_vassal_plot_desc;This CB is used in plots to gain a claim on a vassal.;;;;;;;;;;;;x
claim_on_liege_plot_desc;This CB is used in plots to gain a claim on a liege.;;;;;;;;;;;;x
MIL_ARMIES;Armies;;;;;;;;;;;;x
MIL_NAVIES;Ships;;;;;;;;;;;;x
MIL_VASSALS;Vassals;;;;;;;;;;;;x
MIL_MERCANARIES;Mercenaries;;;;;;;;;;;;x
EXCELLENT;Excellent!;;;;;;;;;;;;x
END_GAME_OVER;Britannia 479 AD - The Winter King;;;;;;;;;;;;x
ENDGAME_TEXT_ENDGAME;The year is 867 AD and the Dark Age of the Winter King draws to a close.;;;;;;;;;;;;x
ENDGAME_TEXT_LANDLESS;After playing $NUMCHARS$ characters, you have lost all your lands. $ENDCHAR$ disappears into obscurity. ;;;;;;;;;;;;x
faction_claimant_timer;;;;;;;;;;;;;x
faction_independence_ultimatum_timer;;;;;;;;;;;;;x
faction_lower_CA_ultimatum_timer;;;;;;;;;;;;;x
faction_succ_gavelkind_ultimatum_timer;;;;;;;;;;;;;x
faction_succ_feudal_elective_ultimatum_timer;;;;;;;;;;;;;x
faction_succ_primogeniture_ultimatum_timer;;;;;;;;;;;;;x
faction_succ_seniority_ultimatum_timer;;;;;;;;;;;;;x
ransom_timer;;;;;;;;;;;;;x
TRIBUTARY_FOEDERATI_NAME;Foederatus;;;;;;;;;;;;;x
TRIBUTARY_FOEDERATI_PLURAL;Foederati;;;;;;;;;;;;;x
SUZERAIN_FOEDERATI_NAME;Foederati Employer;;;;;;;;;;;;;x
TRIBUTARY_FOEDERATI_TRIBUTE;Foederate Service;;;;;;;;;;;;;x
TRIBUTARY_CLIENT_STATE_NAME;Client State;;;;;;;;;;;;;x
TRIBUTARY_CLIENT_STATE_PLURAL;Client States;;;;;;;;;;;;;x
SUZERAIN_CLIENT_STATE_NAME;Suzerain;;;;;;;;;;;;;x
TRIBUTARY_CLIENT_STATE_TRIBUTE;Suzerainty;;;;;;;;;;;;;x
TRIBUTARY_ROMAN_PROVINCE_NAME;Roman Province;;;;;;;;;;;;;x
TRIBUTARY_ROMAN_PROVINCE_PLURAL;Roman Provinces;;;;;;;;;;;;;x
SUZERAIN_ROMAN_PROVINCE_NAME;Imperator;;;;;;;;;;;;;x
TRIBUTARY_ROMAN_PROVINCE_TRIBUTE;Imperium;;;;;;;;;;;;;x
TRIBUTARY_GOVERNOR_NAME;Prefecture;;;;;;;;;;;;;x
TRIBUTARY_GOVERNOR_PLURAL;Prefectures;;;;;;;;;;;;;x
SUZERAIN_GOVERNOR_NAME;Suzerain;;;;;;;;;;;;;x
TRIBUTARY_GOVERNOR_TRIBUTE;Suzerainty;;;;;;;;;;;;;x

OK;OK;;;;;;;;;;;;;x
Ok;Ok;;;;;;;;;;;;;x
I see...;I see...;;;;;;;;;;;;;x
Well...;Well...;;;;;;;;;;;;;x
This is troubling news...;This is troubling news...;;;;;;;;;;;;;x
Yes, well...;Yes, well...;;;;;;;;;;;;;x
Indeed.;Indeed.;;;;;;;;;;;;;x
So be it.;So be it.;;;;;;;;;;;;;x
Excellent.;Excellent.;;;;;;;;;;;;;x
Good.;Good.;;;;;;;;;;;;;x
This is not good.;This is not good.;;;;;;;;;;;;;x
Who cares?;Who cares?;;;;;;;;;;;;;x
Very well.;Very well.;;;;;;;;;;;;;x
I can not resist.;I can not resist.;;;;;;;;;;;;;x
Are they plotting against me?;Are they plotting against me?;;;;;;;;;;;;;x
I want more.;I want more.;;;;;;;;;;;;;x
This is troubling news!;This is troubling news!;;;;;;;;;;;;;x
Painful.;Painful.;;;;;;;;;;;;;x
Pain is a blessed reminder of our Lord's Passion.;Pain is a blessed reminder of our Lord's Passion.;;;;;;;;;;;;;x
This is terrible news!;This is terrible news!;;;;;;;;;;;;;x
I need some rest!;I need some rest!;;;;;;;;;;;;;x
Where is my ale?;Where is my ale?;;;;;;;;;;;;;x
Troubling news...;Troubling news...;;;;;;;;;;;;;x
Enough of this.;Enough of this.;;;;;;;;;;;;;x
Troubling.;Troubling.;;;;;;;;;;;;;x
So what?;So what?;;;;;;;;;;;;;x
You're not supposed to see this...;You're not supposed to see this...;;;;;;;;;;;;;x
